text,label
"This product is amazing!, I would buy it again.",0
Absolutely terrible. waste of money.,1
Best purchase I've made this year.,0
Fake product. Never received my order.,1
Highly recommend to everyone.,0
I love it! It works exactly as described.,0
Worst experience ever. Do not buy.,1
This is a scam. I'm reporting this seller.,1
Fantastic quality and fast shipping.,0
Too good to be true. Looks fake.,1
Genuine product. Met all my expectations.,0
Did not arrive. Probably a fake listing.,1
Extremely satisfied. Will recommend to friends.,0
The packaging was fake and item was broken.,1
Really happy with my purchase.,0
Fraudulent seller. Avoid at all costs.,1
Excellent build quality and fast delivery.,0
I got an empty box. What a scam!,1
Everything was as described. Very happy.,0
Product is not as advertised. Total rip-off.,1
